symbol,security_name,security_type,security_type_raw,security_source
ETH/USD,Ethereum,crypto,crypto,manual
AAPL,APPLE INC,common_stock,Common Stock,openfigi
ACHR,ARCHER AVIATION INC-A,common_stock,Common Stock,openfigi
ADBE,ADOBE INC,common_stock,Common Stock,openfigi
AI,C3.AI INC-A,common_stock,Common Stock,openfigi
AMAT,APPLIED MATERIALS INC,common_stock,Common Stock,openfigi
AMD,ADVANCED MICRO DEVICES,common_stock,Common Stock,openfigi
AMZN,AMAZON.COM INC,common_stock,Common Stock,openfigi
APLD,APPLIED DIGITAL CORP,common_stock,Common Stock,openfigi
ASTS,AST SPACEMOBILE INC,common_stock,Common Stock,openfigi
AVGO,BROADCOM INC,common_stock,Common Stock,openfigi
AVTR,AVANTOR INC,common_stock,Common Stock,openfigi
BILI,BILIBILI INC-SPONSORED ADR,depositary_receipt,Depositary Receipt,openfigi
BMNR,BITMINE IMMERSION TECHNOLOGI,common_stock,Common Stock,openfigi
BTBT,BIT DIGITAL INC,common_stock,Common Stock,openfigi
BURU,NUBURU INC,common_stock,Common Stock,openfigi
CEG,CONSTELLATION ENERGY,common_stock,Common Stock,openfigi
CNC,CENTENE CORP,common_stock,Common Stock,openfigi
COST,COSTCO WHOLESALE CORP,common_stock,Common Stock,openfigi
CRCL,CIRCLE INTERNET GROUP INC,common_stock,Common Stock,openfigi
CRM,SALESFORCE INC,common_stock,Common Stock,openfigi
CRWD,CROWDSTRIKE HOLDINGS INC - A,common_stock,Common Stock,openfigi
CRWV,COREWEAVE INC-CL A,common_stock,Common Stock,openfigi
CYN,CYNGN INC,common_stock,Common Stock,openfigi
DRAM,ROUNDHILL MEMORY ETF,etf,Mutual Fund,openfigi
ENB,ENBRIDGE INC,common_stock,Common Stock,openfigi
FCNTX,FIDELITY CONTRAFUND,mutual_fund,Mutual Fund,openfigi
FSPGX,FIDELITY L/C GR INDX,mutual_fund,Mutual Fund,openfigi
GFS,GLOBALFOUNDRIES INC,common_stock,Common Stock,openfigi
GOOGL,ALPHABET INC-CL A,common_stock,Common Stock,openfigi
GPRO,GOPRO INC-CLASS A,common_stock,Common Stock,openfigi
GPUS,HYPERSCALE DATA INC,common_stock,Common Stock,openfigi
HALO,HALOZYME THERAPEUTICS INC,common_stock,Common Stock,openfigi
HIMS,HIMS & HERS HEALTH INC,common_stock,Common Stock,openfigi
HOLO,MICROCLOUD HOLOGRAM INC,common_stock,Common Stock,openfigi
HOOD,ROBINHOOD MARKETS INC - A,common_stock,Common Stock,openfigi
